Nickname,Sex,Age,Genotype,Room,Condition,Config_label_list,Notes
Z9_d2,M,116,BL6J,C_large,Single_north,"D, A, C",Cut short due to memory glitches of SpinView
Z9_d1,M,102,BL6J,C_large,Single_north,"O, D",two teleporting during the session from Out to Home
Z8_d2,M,104,BL6J,C_large,Single_north,"D, A, C",
Z8_d1,M,101,BL6J,C_large,Single_north,"O, D",
Y2_a1,M,62,BL6J,E_small,Single_west,"O, D",
Y1_a1,M,62,BL6J,C_large,Single_west,"O, D",
X3_a1,M,90,BL6J,C_large,Single_west,"O, D",
W2_a1,F,95,BL6J,C_large,Single_west,"O, D","Tracking is a bit messy, goes towards the rwd_2 light a lot; reward 2 light fixing pending? "
W1_a1,F,94,BL6J,E_small,Single_west,"O, D",Room was entered to check on maze
V2_t1,M,88,BL6J,E_small,Single_west,"A, B, A, C",
V2_a1,M,89,BL6J,E_small,Single_west,"O, A","Video is slightly dim, one light was accidentally disconnected"
V1_a1,M,88,BL6J,E_small,Single_west,"O, A, A",
T3_a1,F,95,BL6J,E_small,Single_west,"O, D",
T2_a1,F,95,BL6J,C_large,Single_west,"O, D",
T1_a1,F,90,BL6J,E_small,Single_west,"O, A, A",
S4_t1,F,91,BL6J,E_small,Single_west,"C, A, C, B",
S4_a1,F,90,BL6J,E_small,Single_west,"O, A",
S3_t1,F,86,BL6J,C_large,Single_west,"C, B, C, A",
S3_a1,F,85,BL6J,C_large,Single_west,"O, A",
S2_a1,F,86,BL6J,E_small,Single_west,"O, A, A",
S1_t1,F,85,BL6J,E_small,Single_west,"C, A, C, B",
S1_a1,F,84,BL6J,E_small,Single_west,"O, A",
R4_a1,F,79,BL6J,C_large,Single_west,"O, A, A",
R3_a1,F,79,BL6J,E_small,Single_west,"O, A, A",
R2_t1,F,77,BL6J,E_small,Single_west,"C, B, C, A",
R2_a1,F,76,BL6J,E_small,Single_west,"O, A",
R1_t1,F,77,BL6J,C_large,Single_west,"C, A_flipped, C, B",
R1_a1,F,76,BL6J,C_large,Single_west,"O, A",
Q4_a1,M,95,BL6J,C_large,Single_west,"O, A, A",
Q3_a1,M,89,BL6J,C_large,Single_west,"O, A, A",
Q2_a1,M,88,BL6J,E_small,Single_west,"O, A, A","Failed second A, 6 green dots"
O2_t1,M,93,BL6J,E_small,Single_west,"C, A, C",
O2_a1,M,92,BL6J,E_small,Single_west,"O, A",
N4_a1,M,71,BL6J,C_large,Single_west,"O, A",Failed A mask. Experimenter entered room during A mask to trap mouse in maze
N3_t1,M,72,BL6J,E_small,Single_west,"A, B, A, C",
N3_a1,M,71,BL6J,E_small,Single_west,"O, A",
